trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.1, 'e': 0.7743449302907939}",25,0,-81.34677179643951,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
199,False,"{'a': 0.1, 'e': 0.7722514447484014}",25,0,-33.182266630442186,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
200,False,"{'a': 0.1, 'e': 0.7701511529340699}",20,0,-99.26350434046914,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
201,False,"{'a': 0.1, 'e': 0.7680441073549854}",20,0,-77.7814405309163,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
202,False,"{'a': 0.1, 'e': 0.7659303606871777}",20,0,-44.517990081413195,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
203,False,"{'a': 0.1, 'e': 0.7638099657742033}",20,0,-42.76787527653821,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
204,False,"{'a': 0.1, 'e': 0.7616829756258248}",30,1,-113.19102028567421,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 1}",1
205,False,"{'a': 0.1, 'e': 0.759549443416685}",20,0,-185.4398061725983,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
206,False,"{'a': 0.1, 'e': 0.7574094224849777}",35,15,-100.21257021770123,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1
207,False,"{'a': 0.1, 'e': 0.7552629663311152}",20,0,-142.09021872520213,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
208,False,"{'a': 0.1, 'e': 0.7531101286163893}",20,0,-79.7454634437191,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
209,False,"{'a': 0.1, 'e': 0.7509509631616307}",20,0,-22.765228119243453,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
210,False,"{'a': 0.1, 'e': 0.7487855239458635}",20,0,-124.71282144537632,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
211,False,"{'a': 0.1, 'e': 0.7466138651049552}",20,0,-32.47528684364251,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
212,False,"{'a': 0.1, 'e': 0.7444360409302637}",25,14,-13.663492561088074,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
213,False,"{'a': 0.1, 'e': 0.7422521058672802}",30,12,-52.63822146571478,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
214,False,"{'a': 0.1, 'e': 0.7400621145142671}",20,0,-40.51519707470184,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
215,False,"{'a': 0.1, 'e': 0.7378661216208944}",20,0,-166.65234001028867,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
216,False,"{'a': 0.1, 'e': 0.73566418208687}",20,0,-66.64344167830751,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
217,False,"{'a': 0.1, 'e': 0.7334563509605676}",20,0,-46.921274833219606,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
218,False,"{'a': 0.1, 'e': 0.7312426834376504}",20,2,-84.1830140601475,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
219,False,"{'a': 0.1, 'e': 0.7290232348596912}",25,13,-41.63449351179466,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
220,False,"{'a': 0.1, 'e': 0.7267980607127886}",30,6,-111.51041613055767,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 2}",1
221,False,"{'a': 0.1, 'e': 0.7245672166261807}",30,0,-128.63222218168522,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
222,False,"{'a': 0.1, 'e': 0.7223307583708534}",30,0,-28.926582379880035,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
223,False,"{'a': 0.1, 'e': 0.7200887418581465}",30,12,-112.17087321392498,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 1}",1
224,False,"{'a': 0.1, 'e': 0.717841223138356}",20,0,-54.72200321276699,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
225,False,"{'a': 0.1, 'e': 0.7155882583993332}",30,0,13.714669713182614,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
226,False,"{'a': 0.1, 'e': 0.7133299039650787}",30,0,-76.53695685010945,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
227,False,"{'a': 0.1, 'e': 0.711066216294336}",30,0,-153.59513910369995,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",1
228,False,"{'a': 0.1, 'e': 0.708797251979179}",20,13,-0.7922102669003639,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.1, 'e': 0.7065230677435974}",20,0,-65.96455311817734,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
230,False,"{'a': 0.1, 'e': 0.7042437204420786}",20,0,-137.26005962698244,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
231,False,"{'a': 0.1, 'e': 0.7019592670581865}",30,15,-66.44795877814008,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
232,False,"{'a': 0.1, 'e': 0.6996697647031366}",25,0,-115.6861751061811,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
233,False,"{'a': 0.1, 'e': 0.6973752706143685}",30,18,-28.963882003509426,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.1, 'e': 0.6950758421541151}",20,10,-48.078533592784176,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
